web-scraper-order,address_raw,datetime,rooms,area,luxurious,price_per_m2,lat,lon
1662023730-716,"Hohlstr. 509, 8048 Zürich, ZH",2022-09-07 09:00:00,2.5,73,0,32.58,47.388973236083984,8.493876457214355
1662023798-1239,"Feldblumenstrasse 10, 8048 Zürich, ZH",2022-09-07 09:00:00,2.5,65,0,38.0,47.388099670410156,8.482545852661133
1662023689-393,"Otelfingerstrasse, 8115 Hüttikon, ZH",2022-09-07 09:00:00,2.5,80,0,26.25,47.446327209472656,8.386990547180176
1662023695-453,"Letzigraben 171, 8047 Zürich, ZH",2022-09-07 09:00:00,3.5,68,0,39.41,47.37362289428711,8.495223999023438
1662023686-365,"Zelglistrasse 9, 8311 Brütten, ZH",2022-09-07 09:00:00,3.5,85,0,26.94,47.47028350830078,8.673417091369629
1662023698-479,"Obermattstrasse 82, 8330 Pfäffikon ZH, ZH",2022-09-07 09:00:00,2.0,60,0,26.92,47.370731353759766,8.782037734985352
1662023727-681,"Schleifetobelweg 20, 8810 Horgen, ZH",2022-09-07 09:00:00,4.0,84,0,25.0,47.25609588623047,8.597591400146484
1662023695-436,"Fritz Fleiner-Weg 11, 8044 Zürich, ZH",2022-09-07 09:00:00,2.5,84,0,42.14,47.38129806518555,8.56221866607666
1662023711-568,"Pfarrhausstrasse 28, 8424 Embrach, ZH",2022-09-07 09:00:00,4.5,104,0,21.22,47.50019073486328,8.597267150878906
1662023774-1040,"Seuzacherstr. 9a, 8400 Winterthur, ZH",2022-09-07 09:00:00,2.5,66,1,28.79,47.51836013793945,8.72063159942627
1662023692-413,"Balgriststrasse 37/39, 8008 Zürich, ZH",2022-09-07 09:00:00,2.5,69,0,39.28,,
1662023704-518,"Kirchstrasse 19, 8245 Feuerthalen, ZH",2022-09-07 09:00:00,5.0,95,0,17.37,47.691505432128906,8.637733459472656
1662023786-1150,"Uhlandstrasse 6, 8037 Zürich, ZH",2022-09-07 09:00:00,3.5,69,0,66.67,47.394466400146484,8.5289306640625
1662023714-581,"Frohburgstrasse 303, 8057 Zürich, ZH",2022-09-07 09:00:00,1.5,29,0,50.0,47.40309143066406,8.557792663574219
1662023810-1344,"Grünaustrasse 10, 8953 Dietikon, ZH",2022-09-07 09:00:00,1.5,61,0,28.36,47.40949249267578,8.403727531433105
