web-scraper-order;address_raw;datetime;rooms;area;luxurious;price;price_per_m2;lat;lon;bfs_number;bfs_name;pop;pop_dens;frg_pct;emp;tax_income;dist_supermarket
1662023786-1152;Widmerstrasse 19, 8038 Zürich, ZH;17.09.2022 11:44;1;44;0;1525;34.66;47.3376503;8.536156654;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;502.1384383
1662023789-1174;Albisstrasse 118, 8038 Zürich, ZH;17.09.2022 11:44;2.5;62;0;2220;35.81;47.33719254;8.529808998;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;274.4158597
1662023752-880;Badenerstrasse 250, 8004 Zürich, ZH;17.09.2022 11:44;2.5;58;0;3100;53.45;47.37598801;8.516037941;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;108.2571857
1662023789-1165;Im Altried 1f, 8051 Zürich, ZH;17.09.2022 11:44;3.5;89;0;2090;23.48;47.40413284;8.591003418;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;147.0993161
1662023749-847;Jenatschstrasse 5, 8002 Zürich, ZH;17.09.2022 11:44;2.5;60;0;2900;48.33;47.36404419;8.533887863;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;222.3498635
1662023771-1009;Dörflistrasse  112, 8050 Zürich, ZH;17.09.2022 11:44;3.5;72;0;3300;45.83;47.41082382;8.547832489;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;91.00708381
1662023755-912;Austrasse 27, 8045 Zürich, ZH;17.09.2022 11:44;3;68;0;2500;36.76;47.36555099;8.519927025;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;111.1209651
1662023742-812;Pfingstweidstrasse 98, 8005 Zürich, ZH;17.09.2022 11:44;2.5;121;1;4022;33.24;47.39064026;8.510338783;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;138.5646589
1662023761-950;Albisstrasse 170, 8038 Zürich, ZH;17.09.2022 11:44;3;67;0;2295;34.25;47.3330307;8.529637337;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;188.82553
1662023774-1055;Uhlandstrasse 6, 8037 Zürich, ZH;17.09.2022 11:44;3.5;76;0;4890;64.34;47.3944664;8.528930664;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;87.58157882
1662023742-799;8048 Zürich, ZH;17.09.2022 11:44;4.5;135;0;4490;33.26;47.38191605;8.482671738;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;668.4729887
1662023755-890;Seefeldstr. 168, 8008 Zürich, ZH;17.09.2022 11:44;4.5;81;0;3990;49.26;47.35554504;8.556349754;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;295.7654712
